"x"
"accident"	7
"advertise"	2
"afternoon"	1
"allergy"	7
"apartment"	3
"arrive"	1
"Asian"	4
"athlete"	4
"baby"	1
"bacon"	2
"banana"	7
"baseball"	2
"basketball"	2
"bath"	7
"bear as in animal"	7
"bear as in tolerate"	6
"bored"	3
"busy"	5
"calculus"	2
"cash register"	1
"child"	3
"church"	5
"cold"	2
"college"	1
"crowd"	4
"depend"	5
"desert"	6
"doctor"	1
"dolphin"	5
"don't like"	3
"dormitory"	6
"drink"	6
"early"	5
"engineer"	5
"firefighter"	3
"food"	6
"french fries"	3
"Friday"	3
"frustrate"	5
"girlfriend"	5
"green"	3
"hill"	3
"home"	6
"hospital"	3
"hot"	6
"hotel"	2
"humble"	5
"hurt"	2
"inside"	1
"internet"	7
"introduce"	7
"jail"	7
"jeans"	4
"jog"	2
"jump"	1
"lake"	4
"laugh"	6
"laundry"	7
"learn"	1
"left"	3
"library"	3
"license"	2
"long time ago"	3
"mad"	6
"makeup"	2
"manage"	2
"mean as in average"	1
"mean as in cruel"	4
"mean as in meaning"	1
"morning"	5
"movie"	5
"music"	1
"overalls"	7
"paper"	1
"pea"	5
"plum"	7
"poetry"	1
"psychology"	1
"raspberry"	7
"river"	4
"rollerblade"	5
"sandal"	5
"sandwich"	5
"secretary"	1
"senior"	1
"shoes"	2
"sick"	7
"single"	6
"skateboard"	1
"skirt"	4
"smart"	3
"stupid"	3
"teenager"	3
"tennis"	3
"thank you"	6
"tiger"	6
"toothbrush"	6
"vote"	1
"wrench"	2
"young"	7
