"x"
"accident"	2
"advertise"	2
"afternoon"	1
"allergy"	2
"apartment"	1
"arrive"	1
"Asian"	2
"athlete"	2
"baby"	1
"bacon"	2
"banana"	2
"baseball"	2
"basketball"	2
"bath"	2
"bear as in animal"	2
"bear as in tolerate"	1
"bored"	1
"busy"	1
"calculus"	2
"cash register"	2
"child"	1
"church"	1
"cold"	2
"college"	1
"crowd"	2
"depend"	1
"desert"	1
"doctor"	1
"dolphin"	1
"don't like"	1
"dormitory"	1
"drink"	1
"early"	1
"engineer"	2
"firefighter"	1
"food"	1
"french fries"	1
"Friday"	1
"frustrate"	2
"girlfriend"	2
"green"	1
"hill"	1
"home"	1
"hospital"	1
"hot"	1
"hotel"	2
"humble"	1
"hurt"	2
"inside"	1
"internet"	2
"introduce"	2
"jail"	1
"jeans"	2
"jog"	2
"jump"	1
"lake"	2
"laugh"	2
"laundry"	2
"learn"	1
"left"	1
"library"	1
"license"	2
"long time ago"	1
"mad"	1
"makeup"	2
"manage"	2
"mean as in average"	1
"mean as in cruel"	2
"mean as in meaning"	1
"morning"	1
"movie"	1
"music"	1
"overalls"	2
"paper"	1
"pea"	1
"plum"	2
"poetry"	1
"psychology"	1
"raspberry"	2
"river"	2
"rollerblade"	2
"sandal"	1
"sandwich"	1
"secretary"	1
"senior"	1
"shoes"	2
"sick"	1
"single"	1
"skateboard"	1
"skirt"	2
"smart"	1
"stupid"	1
"teenager"	1
"tennis"	1
"thank you"	1
"tiger"	2
"toothbrush"	1
"vote"	1
"wrench"	2
"young"	2
