"x"
"accident"	2
"advertise"	4
"afternoon"	5
"allergy"	2
"apartment"	3
"arrive"	1
"Asian"	4
"athlete"	4
"baby"	1
"bacon"	4
"banana"	2
"baseball"	4
"basketball"	4
"bath"	2
"bear as in animal"	2
"bear as in tolerate"	6
"bored"	3
"busy"	5
"calculus"	4
"cash register"	1
"child"	3
"church"	5
"cold"	4
"college"	1
"crowd"	4
"depend"	5
"desert"	6
"doctor"	1
"dolphin"	5
"don't like"	3
"dormitory"	6
"drink"	6
"early"	5
"engineer"	5
"firefighter"	3
"food"	6
"french fries"	3
"Friday"	3
"frustrate"	5
"girlfriend"	5
"green"	3
"hill"	3
"home"	6
"hospital"	3
"hot"	6
"hotel"	4
"humble"	5
"hurt"	4
"inside"	5
"internet"	2
"introduce"	2
"jail"	2
"jeans"	4
"jog"	4
"jump"	1
"lake"	4
"laugh"	6
"laundry"	2
"learn"	1
"left"	3
"library"	3
"license"	4
"long time ago"	3
"mad"	6
"makeup"	6
"manage"	4
"mean as in average"	1
"mean as in cruel"	4
"mean as in meaning"	1
"morning"	6
"movie"	5
"music"	1
"overalls"	2
"paper"	1
"pea"	5
"plum"	2
"poetry"	1
"psychology"	1
"raspberry"	2
"river"	5
"rollerblade"	5
"sandal"	5
"sandwich"	6
"secretary"	1
"senior"	5
"shoes"	5
"sick"	2
"single"	6
"skateboard"	1
"skirt"	1
"smart"	3
"stupid"	3
"teenager"	3
"tennis"	3
"thank you"	6
"tiger"	6
"toothbrush"	6
"vote"	5
"wrench"	4
"young"	2
