"x"
"accident"	7
"advertise"	1
"afternoon"	8
"allergy"	7
"apartment"	4
"arrive"	8
"Asian"	9
"athlete"	9
"baby"	8
"bacon"	2
"banana"	7
"baseball"	1
"basketball"	1
"bath"	7
"bear as in animal"	7
"bear as in tolerate"	6
"bored"	6
"busy"	8
"calculus"	1
"cash register"	10
"child"	3
"church"	8
"cold"	2
"college"	8
"crowd"	1
"depend"	8
"desert"	3
"doctor"	8
"dolphin"	8
"don't like"	4
"dormitory"	6
"drink"	6
"early"	8
"engineer"	2
"firefighter"	6
"food"	6
"french fries"	3
"Friday"	4
"frustrate"	5
"girlfriend"	10
"green"	4
"hill"	3
"home"	6
"hospital"	6
"hot"	6
"hotel"	1
"humble"	1
"hurt"	2
"inside"	8
"internet"	7
"introduce"	2
"jail"	7
"jeans"	9
"jog"	1
"jump"	8
"lake"	1
"laugh"	5
"laundry"	10
"learn"	8
"left"	4
"library"	4
"license"	2
"long time ago"	4
"mad"	6
"makeup"	2
"manage"	1
"mean as in average"	8
"mean as in cruel"	1
"mean as in meaning"	8
"morning"	6
"movie"	8
"music"	8
"overalls"	7
"paper"	8
"pea"	8
"plum"	7
"poetry"	8
"psychology"	8
"raspberry"	7
"river"	9
"rollerblade"	9
"sandal"	8
"sandwich"	5
"secretary"	8
"senior"	8
"shoes"	2
"sick"	7
"single"	3
"skateboard"	8
"skirt"	9
"smart"	6
"stupid"	6
"teenager"	6
"tennis"	4
"thank you"	6
"tiger"	5
"toothbrush"	6
"vote"	8
"wrench"	1
"young"	7
